,acc,hausdorff,precision,iou,mcc,F measure,sensitivity,dice
HB039126OAV_00230_2014-03-29_5_,0.5607489270798136,7.148437178817051,0.5340704278099178,0.16780566084719034,0.19534306994784834,0.6843371906978277,0.9522688020097346,0.28738627748294165
HB039717OAV_00055_2011-10-27_2_,0.8231584896403923,5.057428872080323,0.8319060554678483,0.6991595956315213,0.6465415669867097,0.8207969929536163,0.8099807158647289,0.8229475293892765
HB041636OAV_00072_2008-03-02_102_,0.715139330675149,4.4042896325686,0.8726405028420665,0.4844379348224094,0.4747707846628412,0.6388082169408724,0.5038080731150039,0.6526887025160335
HB041636OAV_00072_2008-03-02_2_,0.746589421673973,3.8085968494415283,0.8361688617613406,0.5659405012883579,0.5116797597631298,0.7076360882527053,0.6133536430566133,0.7228122662677637
HB041638OAV_00114_2007-02-15_2_,0.7668896641675675,4.3596253746193465,0.8062439252354894,0.6148648648648649,0.5382420558240077,0.7508831254066209,0.7026365348399246,0.7615062761506276
HB041638OAV_00114_2007-02-15_3_,0.7740804037414206,4.1415451077334104,0.7748430226189555,0.631425053862727,0.5481629176952078,0.7737665338268969,0.7726930320150659,0.7740779171776248
HB041640OAV_00238_2008-10-22_102_,,,,,,,,
HB041640OAV_00238_2008-10-22_2_,,,,,,,,
HB041641OAV_00618_2009-03-14_2_,0.5357708901998768,4.651742003823912,0.5668669245329603,0.27783902976846747,0.08081189139842648,0.39512404990678324,0.30324909747292417,0.43485763589301124
HB041641OAV_00618_2009-03-14_3_,0.6792445962397337,3.2458620815382067,0.7059925188012744,0.5072031793343269,0.36155015557682985,0.656973791153723,0.6143200962695547,0.6730388925510876
HB041644OAV_00583_2011-02-09_3_,0.8032746351439441,4.7568197984290475,0.8777416017289589,0.6545052515201769,0.61869052376289,0.7817633401439473,0.7047059757162131,0.7911794186435015
HB041645OAV_00496_2011-02-22_3_,0.7692071131004882,2.6714243196552245,0.7742818594128666,0.62482189072087,0.5385064053199683,0.7670521193270171,0.7599561434533494,0.7690958551077386
HB041645OAV_00496_2011-02-22_4_,0.7525954982348962,2.9318308229876555,0.8006574065967824,0.5924922118380063,0.5117722159387242,0.731103098668065,0.6726674683454764,0.7441068878499189
HB041650OAV_00361_2014-03-06_4_,0.708795279086542,4.955323337937938,0.673655688503375,0.5318076477404403,0.4264118085177458,0.7355511655555143,0.8099713214206927,0.6943530390710693
HB041650OAV_00361_2014-03-06_5_,0.7780078477895049,35.744660398765625,0.7639303484510099,0.6354482422215254,0.5568083014589027,0.783774362121902,0.8046768144716523,0.7770936747693816
